sphinx3        
num 0	0	41014	9666522	534198	255065	43799	
num 0	1	    5	  908	  224	   98	   50	
num 0	2	   15	 3448	  186	  121	   85	
num 0	3	   38	 8698	  486	  354	  190	
num 0	4	   44	 9906	  615	  430	  313	
num 0	5	   22	 4887	  431	  184	  130	
num 0	6	  108	22091	 2173	 2025	 1359	
num 0	7	  298	60943	 6694	 4868	 3783	
num 0	8	68649	12941428	2004637	1412163	1215916	
num 0	9	    0	    0	    0	    0	    0	
num 0	10	    0	    0	    0	    0	    0	
num 0	11	    0	    0	    0	    0	    0	
num 0	12	    0	    0	    0	    0	    0	
num 0	13	   41	 4189	 2917	 1778	 1612	
num 0	14	  927	94555	63097	41251	38409	
num 0	15	48227	4769164	3313389	2245295	2018264	
num 0	16	1908287	183806689	132852264	92469134	79393385	
num 1	0	 3970	872330	80524	46500	16966	
num 1	1	   56	10723	 1952	 1123	  538	
num 1	2	   62	12506	 1697	 1162	  507	
num 1	3	  138	28953	 3078	 2199	 1098	
num 1	4	   82	15310	 2751	 1855	 1076	
num 1	5	  193	36024	 6583	 4164	 2637	
num 1	6	  607	113715	19746	13505	 8426	
num 1	7	18304	3334051	608756	430861	312156	
num 1	8	   33	 3626	 2617	 1463	  742	
num 1	9	    2	  268	  122	   79	   43	
num 1	10	    0	    0	    0	    0	    0	
num 1	11	    0	    0	    0	    0	    0	
num 1	12	   19	 1868	 1433	  898	  665	
num 1	13	 1667	170444	113727	75544	67037	
num 1	14	75634	7527976	5161326	3511567	3161435	
num 1	15	2408469	232833817	167000465	115624789	101108993	
num 2	0	 9166	1906588	231840	152227	55841	
num 2	1	  249	46875	 8541	 6003	 2325	
num 2	2	  412	77968	13700	 9838	 3966	
num 2	3	  376	67549	14272	 9866	 4569	
num 2	4	  622	113096	22803	15162	 8171	
num 2	5	 1363	249642	46911	32258	20117	
num 2	6	27294	4956444	903896	674935	451989	
num 2	7	   55	 8117	 2790	 2135	 1038	
num 2	8	  106	14295	 5946	 4954	 1941	
num 2	9	    7	 1000	  365	  281	  146	
num 2	10	   25	 2374	 2072	 1422	  532	
num 2	11	   74	 7158	 5634	 3665	 2487	
num 2	12	 2082	208661	145086	97121	82124	
num 2	13	61628	6146369	4205789	2867114	2557496	
num 2	14	1673363	162561323	115417189	79777627	70624789	
num 3	0	18275	3691744	490786	372261	123609	
num 3	1	  855	155686	32195	22160	 8839	
num 3	2	 1229	219486	46648	34350	14140	
num 3	3	 1781	316500	67889	48260	23287	
num 3	4	 2203	391458	81330	60197	30983	
num 3	5	12356	2194563	438264	333034	197275	
num 3	6	  439	62947	23017	18801	 7619	
num 3	7	  298	42351	15509	13036	 5392	
num 3	8	  115	15541	 6741	 4695	 2463	
num 3	9	   66	 7225	 4929	 3360	 1382	
num 3	10	  250	23100	20128	12950	 7822	
num 3	11	 1867	178666	140053	93856	65377	
num 3	12	39325	3901316	2715497	1859551	1590836	
num 3	13	825732	80620998	56662271	39291979	34812144	
num 4	0	22574	4456025	641839	514280	166800	
num 4	1	 1704	299426	68058	49952	18788	
num 4	2	 2320	403896	92127	68556	29341	
num 4	3	 4006	702571	152713	116600	53652	
num 4	4	19394	3327025	749717	616117	272005	
num 4	5	 1516	219168	79022	64607	25299	
num 4	6	 1381	187062	78410	62343	25721	
num 4	7	  712	90765	43885	33779	13843	
num 4	8	  915	88845	75102	45196	25097	
num 4	9	  503	47600	40821	26918	13429	
num 4	10	 2739	253449	215278	145968	86489	
num 4	11	22424	2159664	1618515	1137604	824761	
num 4	12	331913	32365778	22845421	16060576	13697953	
num 5	0	18073	3275098	655939	526393	169258	
num 5	1	 3054	524947	124724	95129	37024	
