                                       mlc                                        lru
zeusmp         	227.86	 5.71	15.14	 2.89	1121258775	36264699	100569376	21150926	0.911910	210.03	10.04	27.58	 3.93	999464745	56157130	164246051	30118378	0.898810	
GemsFDTD       	134.01	49.99	38.05	33.00	2456504825	931259112	708269645	616094162	0.897244	119.17	56.13	46.89	32.82	1955906533	940695767	783999247	552566837	0.836838	
gobmk          	166.71	22.75	22.21	 9.76	155979935	12137853	11617092	5545120	0.203617	155.77	27.01	28.56	10.06	151273985	12954999	12869399	5654897	0.197183	
bzip2          	129.85	46.50	42.34	25.02	458994971	121525005	113666744	69801760	0.106751	109.65	53.83	52.64	27.49	443245159	119632408	114748987	68989254	0.097822	
astar          	 0.00	 0.00	 0.00	 0.00	56244794	7119672	4624916	4722810	0.012675	 0.00	 0.00	 0.00	 0.00	56244794	7119672	4624916	4722810	0.012675	
h264ref        	104.66	21.14	19.62	10.76	143723882	19219352	16196365	15244273	0.056116	93.28	23.43	26.93	12.27	141441098	18807555	15932134	15019469	0.048591	
lbm            	128.23	51.43	38.05	37.76	7826803200	3266381982	2453807450	2382572808	0.881311	119.12	54.78	42.04	40.06	7661074685	3532959282	2709186316	2571642053	0.937151	
leslie3d       	126.38	53.35	43.17	33.09	1337525979	602242271	498233902	379265304	0.795649	109.21	59.93	53.32	33.54	1186307172	661293253	591090277	376871538	0.795307	
mcf            	221.86	12.67	11.05	10.26	15104942841	873976333	762326885	701725845	0.478321	217.42	14.31	13.31	10.80	15848979701	1068566113	997208513	797001705	0.513126	
omnetpp        	180.92	32.20	27.28	14.94	3331541102	574136135	487571436	265780319	0.669085	173.82	35.08	30.62	15.81	3058577879	582250895	507403744	262317754	0.629491	
perlbench      	125.51	26.81	20.04	14.15	41701041	8857114	6127606	4665151	0.260462	114.18	31.28	25.80	15.24	40724295	9543827	6944785	4928021	0.264531	
